anime_id,name,genre,type,episodes,ave_rating,members,all_content
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9,200630,drama romance school supernatural movie 9
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9,793665,action adventure drama fantasy magic military shounen tv 9
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9,114262,action comedy historical parody samurai scifi shounen tv 9
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9,673572,scifi thriller tv 9
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9,151266,action comedy historical parody samurai scifi shounen tv 9
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9,93351,comedy drama school shounen sports tv 9
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9,425855,action adventure shounen super power tv 9
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9,80679,drama military scifi space ova 9
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9,72534,action comedy historical parody samurai scifi shounen movie 9
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9,81109,action comedy historical parody samurai scifi shounen tv 9
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9,456749,drama fantasy romance slice of life supernatural tv 9
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9,102733,drama school shounen movie 9
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9,336376,action comedy historical parody samurai scifi shounen tv 9
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,9,572888,action drama mecha military scifi super power tv 9
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,9,179342,comedy drama school shounen sports tv 9
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,9,466254,adventure drama supernatural movie 9
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,9,416397,drama music romance school shounen tv 9
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,9,75894,adventure fantasy historical mystery seinen slice of life supernatural tv 9
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,9,226193,fantasy slice of life movie 9
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,9,715151,action mecha military school scifi super power tv 9
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,9,157670,comedy drama shounen sports tv 9
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,9,129307,action drama historical martial arts romance samurai ova 9
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,9,486824,action adventure comedy drama scifi space tv 9
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,9,552458,action comedy parody scifi seinen super power supernatural tv 9
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,9,339556,action adventure fantasy movie 9
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,9,240297,comedy mystery romance school scifi supernatural movie 9
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,9,205959,comedy mystery romance supernatural vampire tv 9
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,9,101351,adventure fantasy historical mystery seinen slice of life supernatural tv 9
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,9,300030,adventure fantasy historical mystery seinen slice of life supernatural tv 9
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,9,562962,action adventure comedy mecha scifi tv 9
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,9,268487,comedy drama school shounen slice of life tv 9
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,9,38865,drama fantasy shoujo slice of life supernatural tv 9
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,9,88995,comedy drama shounen sports tv 9
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,9,32266,adventure fantasy historical mystery seinen slice of life supernatural movie 9
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,9,98431,drama fantasy shoujo slice of life supernatural tv 9
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,9,333186,adventure drama fantasy romance movie 9
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,9,340973,action fantasy supernatural thriller tv 9
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,9,34347,action mystery supernatural vampire movie 9
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,9,247562,drama horror mystery police psychological seinen thriller tv 9
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,9,133620,comedy drama romance shounen tv 9
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,9,1013917,mystery police psychological supernatural thriller tv 9
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,9,16947,comedy parody ova 9
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,9,176475,action comedy school shounen tv 9
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,9,284498,comedy drama school shounen sports tv 9
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,9,66756,comedy drama shounen sports tv 9
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,9,111074,action drama mystery romance supernatural thriller movie 9
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,9,102322,drama fantasy shoujo slice of life supernatural tv 9
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,9,97187,psychological seinen sports tv 9
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,9,49036,adventure fantasy historical mystery seinen slice of life supernatural special 9
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,9,402381,mystery psychological seinen supernatural tv 9
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,9,122531,mystery psychological romance tv 9
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,9,56162,fantasy scifi shounen slice of life tv 9
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,9,33422,comedy demons fantasy shoujo supernatural ova 9
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,9,139474,drama historical seinen thriller tv 9
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,9,355839,drama fantasy psychological thriller tv 9
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,9,82253,action mecha scifi space super power movie 9
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,9,114173,drama fantasy shoujo slice of life supernatural tv 9
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,9,463835,drama slice of life supernatural tv 9
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,9,184525,comedy school shounen sports tv 9
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,9,192424,scifi thriller movie 9
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,9,197439,drama romance shoujo supernatural movie 9
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,9,348951,ecchi school shounen tv 9
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,9,103178,comedy sports tv 9
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,9,11104,action comedy historical parody samurai scifi shounen movie 9
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,9,93657,action adventure drama shounen supernatural tv 9
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9,51185,action comedy historical parody samurai scifi shounen movie 9
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,9,297454,action horror military seinen supernatural vampire ova 9
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,9,425457,action drama horror psychological scifi seinen tv 9
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,9,71295,drama historical josei tv 9
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,9,72958,comedy scifi seinen slice of life space tv 9
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,9,80825,adventure supernatural movie 9
578,Hotaru no Haka,"Drama, Historical",Movie,1,9,174878,drama historical movie 9
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,9,243325,comedy school shounen sports tv 9
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,9,28653,comedy drama romance sports tv 9
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,2,9,504862,action adventure comedy drama fantasy shounen super power tv 9
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,9,113993,action mecha military mystery police scifi seinen tv 9
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,9,74074,action adventure comedy drama shounen supernatural tv 9
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,9,95658,action mystery romance supernatural thriller movie 9
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,9,31234,action historical military seinen tv 9
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,9,82570,comedy drama school shounen sports tv 9
10162,Usagi Drop,"Josei, Slice of Life",TV,11,9,194855,josei slice of life tv 9
18617,Girls und Panzer der Film,"Military, School",Movie,1,9,25641,military school movie 9
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,9,193716,action comedy slice of life supernatural tv 9
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,9,197256,comedy drama music romance shoujo slice of life tv 9
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,9,363215,action comedy historical mystery seinen supernatural tv 9
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,9,34011,adventure fantasy historical mystery seinen slice of life supernatural special 9
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,9,896229,action drama fantasy shounen super power tv 9
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,9,151561,comedy drama romance shounen tv 9
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,9,53108,comedy drama romance school sports tv 9
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,9,28864,romance school shounen ai slice of life movie 9
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,9,182224,action mecha scifi movie 9
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,9,288376,drama horror mystery scifi supernatural tv 9
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,9,44223,action drama military scifi space ova 9
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,9,86074,drama game josei slice of life sports tv 9
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,9,453630,action fantasy supernatural tv 9
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,9,190197,action adventure shounen supernatural vampire tv 9
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,9,462974,drama magic psychological thriller tv 9
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,9,254436,comedy school slice of life tv 9
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8,509109,action police psychological scifi tv 8
22789,Barakamon,"Comedy, Slice of Life",TV,12,8,225927,comedy slice of life tv 8
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8,38531,comedy school shounen sports tv 8
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8,245026,action adventure fantasy magic shounen tv 8
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8,135735,drama magic psychological thriller movie 8
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8,13405,comedy drama sports ova 8
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8,390076,action adventure comedy historical samurai shounen tv 8
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8,185015,ecchi school shounen tv 8
